utm_source,utm_medium,channel
google,cpc,paid_search
google,paid,paid_search
bing,cpc,paid_search
bing,paid,paid_search
linkedin,cpc,paid_social
linkedin,paid,paid_social
linkedin,social,paid_social
facebook,cpc,paid_social
facebook,paid,paid_social
instagram,cpc,paid_social
instagram,paid,paid_social
meta,cpc,paid_social
meta,paid,paid_social
,email,email
,newsletter,email
,nurture,email
,drip,email
google,organic,organic
,organic,organic
,referral,content
,content,content
,social,content
,webinar,content
,event,content
